roster_randomid,officialroster,ingradebookdata,insurveyparticipatedata,status,gender,eth2009rollupforreporting,agegroup,lowincomeflag,fulltimestatus,firstgenerationflag,homeprimarylang,admissionsstatusdetail,hsgpa,transfergpa,gpacumulative,firstregacadyr,firstregacadterm,major1
538148,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,N,Part-time,N,English only,Freshman,4.2199998,,,2015-16,Fall,Computer Game Science
182504,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
836257,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Part-time,N,English/non-English,Freshman,4.25,,,2014-15,Fall,Biological Sciences
334953,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,Y,Full-time,Y,Non-English,Freshman,3.6900001,,,2013-14,Fall,Biological Sciences
237519,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
453902,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Part-time,N,English/non-English,Freshman,3.9000001,,,2014-15,Fall,Biological Sciences
803390,NO,,Yes,,,,,,,,,,,,,,,
400323,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Full-time,N,Non-English,Freshman,3.8599999,,,2014-15,Fall,Biological Sciences
761623,Yes,Yes,Yes,Enrolled,Female,Hispanic,21,N,Full-time,Y,English/non-English,Freshman,3.95,,,2013-14,Fall,Political Science
243861,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,Y,Full-time,Y,English/non-English,Freshman,3.79,,,2015-16,Fall,Pharmaceutical Sciences
183679,NO,,Yes,,,,,,,,,,,,,,,
589476,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,Y,English only,Freshman,3.9100001,,,2014-15,Fall,Biological Sciences
712741,Yes,Yes,Yes,Enrolled,Male,Unknown / declined to state,19,N,Full-time,N,English only,Freshman,4.3000002,,,2015-16,Fall,Computer Game Science
667648,Yes,Yes,Yes,Enrolled,Female,International student,19,N,Full-time,Y,Non-English,Freshman,3.3599999,,,2014-15,Fall,Environmental Science
177681,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Part-time,Y,English only,Freshman,4.3499999,,,2014-15,Fall,Biological Sciences
304461,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Full-time,N,Non-English,Freshman,3.9200001,,,2014-15,Fall,Biological Sciences
